,session_ID,Garage_ID,User_ID,User_type,Shared_ID,Start_plugin,Start_plugin_hour,End_plugout,End_plugout_hour,El_kWh,Duration_hours,month_plugin,weekdays_plugin,Plugin_category,Duration_category,end_soc,start_soc,start_day_idx,end_day_idx,delta_t,delta_soc_rounded
2,3,AdO3,AdO3-4,Private,,2018-12-21 11:33:00,11,2018-12-21 19:46:00,19.0,29.87,8.216666666666667,Dec,Friday,late morning (9-12),Between 6 and 9  hours,1,0.631,69,118,49,0.36
5,6,AdO3,AdO3-2,Private,,2018-12-24 23:32:00,23,2018-12-25 17:37:00,17.0,16.14,18.083333333333332,Dec,Monday,late evening (21-midnight),More than 18 hours,1,0.8,141,249,108,0.2
6,7,AdO3,AdO3-2,Private,,2018-12-25 18:25:00,18,2018-12-26 16:08:00,16.0,10.33,21.716666666666665,Dec,Tuesday,early evening (18-21),More than 18 hours,1,0.872,110,240,130,0.12
7,8,AdO3,AdO3-4,Private,,2018-12-26 10:41:00,10,2018-12-26 16:52:00,16.0,27.66,6.183333333333334,Dec,Wednesday,late morning (9-12),Between 6 and 9  hours,1,0.658,64,101,37,0.34
8,9,AdO3,AdO3-2,Private,,2018-12-26 18:46:00,18,2018-12-26 21:08:00,21.0,8.83,2.3666666666666667,Dec,Wednesday,early evening (18-21),Less than 3 hours,1,0.891,112,126,14,0.1
9,10,AdO3,AdO3-2,Private,,2018-12-29 16:04:00,16,2018-12-29 20:55:00,20.0,8.58,4.85,Dec,Saturday,late afternoon (15-18),Between 3 and 6 hours,1,0.894,96,125,29,0.1
10,11,AdO3,AdO3-2,Private,,2018-12-29 23:48:00,23,2018-12-30 15:13:00,15.0,15.95,15.416666666666666,Dec,Saturday,late evening (21-midnight),Between 15 and 18 hours,1,0.803,142,235,93,0.2
12,13,AdO3,AdO3-2,Private,,2018-12-30 22:00:00,22,2018-12-31 11:28:00,11.0,9.79,13.466666666666667,Dec,Sunday,late evening (21-midnight),Between 12 and 15 hours,1,0.879,132,212,80,0.12
14,15,Bl2,Bl2-4,Private,,2019-01-02 19:59:00,19,2019-01-03 00:52:00,0.0,14.64,4.883333333333334,Jan,Wednesday,early evening (18-21),Between 3 and 6 hours,1,0.819,119,149,30,0.18
15,16,AdO3,AdO3-2,Private,,2019-01-04 15:44:00,15,2019-01-05 08:06:00,8.0,2.0,16.366666666666667,Jan,Friday,late afternoon (15-18),Between 15 and 18 hours,1,0.975,94,192,98,0.02
16,17,AdO3,AdO3-4,Private,,2019-01-05 17:10:00,17,2019-01-06 16:24:00,16.0,29.34,23.233333333333334,Jan,Saturday,late afternoon (15-18),More than 18 hours,1,0.637,103,242,139,0.36
